latitude,longitude,heat
14.9833,100.0167,2
37.5112,126.9741,13876
37.4562,126.7288,1119
37.5985,126.9783,5046
36.9167,126.6667,44
36.5671,126.6263,16
37.4988,126.7827,337
37.6200,126.7181,237
37.4461,126.8652,169
37.6742,126.6220,10
39.9288,116.3889,1588
13.9181,100.4974,175
14.0866,99.5509,14
18.7833,100.7833,11
18.5811,99.0092,16
18.7422,99.1225,21
7.4944,100.0583,3
6.8453,101.1881,4
13.6000,101.0833,9
13.4167,99.9500,3
14.7333,100.6833,2
18.1900,99.3928,3
13.7167,100.2167,22
12.9667,101.2167,10
34.3779,132.4763,7
35.6363,139.7303,104
33.5802,130.3742,3
34.9500,135.8167,76
35.6922,139.7178,8
35.1655,136.9045,26
35.6775,139.8016,2
35.7535,139.8216,10
35.7024,139.7430,3
35.4865,139.6362,2
34.9815,135.3317,2
35.9149,139.9553,8
35.5121,139.6759,5
35.9482,139.7650,8
35.8725,139.6516,13
35.6882,139.7802,15
35.8034,139.5890,7
35.5653,139.3655,7
35.8556,139.5207,2
35.8379,139.9191,7
34.6622,135.4960,10
36.4090,140.5406,15
34.6567,136.4381,7
35.8063,139.7198,9
35.7350,139.7981,45
34.9000,137.1500,24
34.9500,137.0833,45
35.7632,139.8076,511
35.5141,139.6237,13
35.6868,139.6620,3
35.5418,139.4509,153
35.6725,139.7737,5
35.7468,139.5863,44
34.6500,137.2000,103
35.4393,139.6061,7
34.8167,137.4000,69
25.4500,81.8500,138
23.0358,72.6194,1153
17.7000,83.3000,244
28.6690,77.2220,1612
28.4333,77.3167,243
25.3333,83.0000,155
26.4631,80.3479,193
26.8509,80.9160,639
22.3000,73.2000,260
28.6014,77.1989,3315
20.9670,72.8976,390
22.3000,70.7833,149
19.6833,72.7500,20
23.2667,77.4000,335
19.2500,73.1500,117
17.4334,78.4111,237
22.7165,75.8307,368
29.6833,76.9833,75
21.1500,79.1000,245
27.1833,78.0167,84
23.1667,79.9500,77
28.6667,77.4333,361
28.4962,77.5360,103
28.9833,77.7000,94
21.2333,81.6333,217
10.9910,76.9667,453
26.9167,75.8167,796
18.9917,79.7954,29
28.5735,77.3208,615
29.6161,76.9806,31
23.3167,75.0667,13
22.5892,88.3103,52
17.3341,78.3925,13
40.6522,109.8222,124
39.6000,109.7833,6
40.8106,111.6522,50
42.2683,118.9636,11
39.1423,117.1726,748
41.7806,123.4312,403
3.2251,101.6803,69
1.6167,110.4407,7
1.6728,103.6325,19
3.1390,101.7060,18
3.1366,101.7172,73
5.2580,100.2923,9
3.0832,101.6407,21
6.0602,102.2341,16
1.7259,103.5011,27
3.1443,101.6718,106
3.0457,101.5573,44
5.3769,100.3848,12
2.2218,102.2585,21
6.1893,100.2859,4
3.1549,101.7412,94
2.9982,101.8017,29
2.9228,101.6572,40
3.8087,103.3267,2
5.3405,103.0754,2
5.2650,116.3283,3
5.9558,116.0368,40
3.1671,101.6708,179
5.3834,100.3930,9
6.0907,100.3819,5
6.1212,102.2459,2
3.0797,101.5186,75
4.5723,101.1157,26
1.5427,103.6487,24
5.3650,100.5618,2
5.5748,100.6005,1
3.1149,101.5869,84
5.9371,116.6695,1
3.1060,101.7180,60
5.4067,100.3259,10
4.9070,100.6029,3
5.4112,100.3354,54
2.9679,101.6530,54
2.9555,102.0719,4
6.1194,100.3677,4
1.5333,103.6667,46
4.1787,101.2265,7
1.5510,103.7096,110
6.1461,100.5833,2
6.1185,102.2489,1
5.9615,115.9863,15
3.0549,101.5314,23
3.0886,101.6070,27
2.1462,102.7848,17
1.8605,103.1004,5
2.7566,102.2523,1
5.3436,103.0796,4
1.3667,103.8000,3256
22.2500,114.1667,5275
25.0478,121.5318,4567
22.3833,114.1833,356
23.5000,121.0000,3731
11.5583,104.9121,264
35.4303,137.0001,12
35.6489,139.8894,19
35.6379,140.1169,45
35.4599,139.9298,7
35.8437,139.8835,21
34.7988,135.5452,14
34.7644,135.4452,17
35.6740,139.8948,7
35.4156,140.2971,5
36.2333,137.1833,7
35.6422,139.6475,401
35.6624,139.7036,1380
35.7329,139.8209,69
35.6914,139.8022,8
35.6676,139.6581,19
35.6962,139.3974,20
35.7001,139.5111,30
35.6584,139.7379,64
35.7290,139.6716,18
35.6344,139.7064,24
35.5990,139.7298,32
36.9500,140.9000,22
38.3445,140.7994,1
35.0398,139.8962,5
38.7453,140.5304,1
34.9167,137.1333,24
35.6440,139.5019,19
35.6796,139.6600,13
37.7497,140.4252,19
33.7914,130.5830,1
35.8622,139.9773,54
34.7833,137.3833,92
36.3583,139.8375,25
35.6847,139.8965,98
35.7576,139.7326,1
35.6242,139.7156,60
43.7390,142.3853,46
35.7691,139.8264,3
43.0622,144.8426,6
35.1833,136.9000,483
26.1981,127.6980,4
34.8833,136.8500,9
34.1726,134.4489,9
35.7040,139.7786,336
35.7310,139.6588,5
35.7370,135.0931,150
35.6630,138.5665,28
34.6833,135.5167,1239
34.6273,135.5332,3
34.7125,135.5006,14
34.6797,135.5778,31
34.7207,135.4804,7
34.7110,135.4676,7
34.6769,135.5239,6
35.6205,140.1090,7
35.8150,139.6853,24
35.6321,139.7342,29
35.7292,139.5381,21
35.5928,139.7337,30
35.6458,139.5957,28
35.6139,139.4242,12
35.7074,139.6001,21
35.7496,139.7608,22
35.8209,139.5579,18
35.7630,139.4458,14
35.6718,139.7796,318
32.3281,118.7638,2
24.9889,121.3176,1000
24.6461,120.8711,11
24.8065,120.9706,672
24.6742,121.1611,43
24.5251,121.5166,10
24.9633,121.2403,20
22.3137,114.1837,826
22.2909,114.1500,6220
22.3833,114.2667,86
22.3333,114.1833,79
22.3333,114.2500,161
22.4333,114.0333,281
22.2830,114.1585,103
22.2167,114.0167,2
22.1667,114.2500,103
22.3667,114.1000,213
22.5167,114.1167,79
22.3000,113.9500,215
22.4000,114.2333,117
22.5000,114.1333,69
22.4333,114.1833,2
22.3000,114.1667,70
22.3833,114.3500,17
22.2833,113.9500,79
22.3333,114.1333,38
22.2333,114.0000,58
22.4667,114.0000,124
22.4000,113.9833,305
22.3000,114.0167,27
22.3333,114.2000,28
22.3500,114.1833,38
22.3000,114.1833,63
14.5955,120.9721,3411
21.2500,73.3000,2
22.4667,70.0667,36
21.5167,70.4667,15
23.5667,70.6333,1
22.8167,70.8333,22
23.0833,70.1333,24
12.3072,76.6497,159
27.7167,75.4833,86
25.9833,76.3667,6
26.2867,73.0300,97
26.4500,74.6333,37
23.5500,74.4500,6
27.4333,74.8833,1
26.1667,75.7833,18
25.1833,75.8333,48
25.3500,74.6333,20
27.6167,75.1500,35
29.9167,73.8833,14
26.2833,72.6333,2
28.0167,73.3000,27
25.7667,73.3333,15
25.3500,72.6167,1
25.9167,73.6667,2
-33.7636,150.9149,204
-36.0764,146.9155,58
-33.8591,151.2002,3709
-34.8823,150.6050,33
-33.9117,151.1022,70
-33.8961,151.0992,8
-33.7040,150.9560,255
-33.8667,150.9500,9
-33.7106,150.3732,8
-33.8833,151.2000,15
-36.0425,146.9396,11
-33.8024,150.9717,12
-33.7770,150.9373,117
-33.7535,150.9820,188
-32.7549,151.5891,28
-33.1040,151.5636,1
-33.9106,151.1542,111
-32.7777,151.6435,22
-33.8709,150.9519,45
-33.8878,151.1264,90
-32.7650,151.6094,10
-32.8324,151.3505,32
-33.8970,151.1367,41
-33.2798,149.0964,24
-32.6008,149.5839,17
-33.7624,150.8734,26
-32.9412,151.6597,131
-33.8860,151.1994,114
-33.7521,150.7004,91
-36.1320,146.8850,25
-32.9657,151.6938,95
-33.7253,151.0238,124
-33.7182,150.7115,30
-32.9303,151.5916,7
-33.8854,151.0218,25
-32.9506,151.6243,2
-33.8167,151.1000,31
-35.3522,149.2297,137
-33.7832,150.9328,6
-33.8538,151.0301,114
-33.7908,150.9469,32
-34.6009,146.4079,1
-33.7058,150.9056,37
-32.9071,151.7518,5
-33.8628,151.0455,83
-33.7122,150.3107,10
-32.7327,151.5524,9
-33.4475,149.1831,2
-32.9231,151.7458,44
-33.8689,151.2008,37
-33.8984,150.9965,11
-33.8833,151.2167,1
-34.4240,150.8934,14
-33.4381,151.3920,11
-33.8833,151.2293,69
-33.5144,151.3335,8
-33.4430,151.4321,32
-33.4694,151.3966,14
-33.9205,151.1893,266
-33.4256,151.3426,20
-34.4338,150.8531,27
-33.5048,151.3315,8
-33.8726,151.2372,12
-33.4188,149.5762,24
-33.9802,151.2438,6
-32.7291,152.0864,6
-33.8718,151.2239,42
-33.8789,151.1872,70
-33.4952,151.3618,3
-33.8879,151.1669,24
-33.8790,151.2357,13
-33.5182,151.3138,20
-32.9136,151.7096,43
-33.9232,150.9193,57
-33.8934,151.2067,41
-33.3829,151.3736,6
-33.8681,151.1967,168
-31.9682,152.5800,6
-33.8777,151.2187,97
-34.4240,150.8933,72
-33.4951,151.3205,27
-33.8770,151.2430,30
-34.3934,150.8938,24
-32.2536,148.6149,33
-34.3703,150.8975,35
-32.7757,152.0840,2
-33.8717,151.2190,62
-33.8769,151.1036,90
-31.8759,152.6716,1
-33.7716,151.1138,2
-33.7319,151.1302,22
-33.9155,151.2057,55
-33.8846,151.2120,181
-33.3974,151.3410,13
-33.9430,151.1810,71
-34.4553,150.8403,136
-33.9034,151.2627,8
-33.8894,151.2562,28
-34.3325,150.9149,17
-33.4391,151.3215,6
-33.8637,151.1707,66
-33.4234,151.4419,12
-33.3843,151.4710,28
-33.4693,151.4293,15
-31.4479,152.9032,79
-34.5823,150.7765,58
-33.8376,151.2083,153
-33.8856,150.9839,20
-33.3561,149.9830,5
-33.9185,151.2041,13
-32.9045,151.7235,32
-33.5137,151.3457,4
-33.4841,151.3613,1
-33.9044,151.0560,50
-34.3788,150.8883,3
-33.5333,151.3083,2
-33.8645,151.0826,92
-32.1961,152.5229,8
-33.9479,151.2020,24
-33.8582,151.1795,187
-32.1720,152.4942,2
-33.7276,151.1667,35
-33.7500,151.1500,27
-33.8933,151.2642,96
-34.5021,150.7940,58
-33.9588,150.8542,15
-33.9180,151.0329,86
-31.0656,152.7668,1
-33.4297,151.3726,6
-33.5990,151.0179,7
13.0508,100.9367,135
13.8638,100.5998,90
13.5989,100.5997,64
14.3619,100.6000,11
13.4667,99.9333,3
13.6984,100.4638,106
14.2000,100.5167,1
13.7510,100.4873,93
19.1167,98.9500,5
14.4500,100.5500,6
13.6000,100.7167,99
12.6667,100.9000,25
13.8500,100.8667,12
13.7333,100.5333,72
14.7453,102.0283,3
13.9667,100.3167,1
13.8000,100.4833,24
13.6861,101.1944,41
13.8167,99.8833,7
18.3833,98.7500,1
13.8622,100.5134,55
14.5333,100.5333,3
14.6083,102.6917,3
13.5833,100.1167,6
13.6673,100.4535,1
15.5142,101.7856,3
13.7303,100.6514,2
13.8500,100.4333,17
14.0619,101.5186,2
13.6667,100.5333,35
14.7167,100.8000,3
26.5833,106.7167,177
38.4681,106.2731,100
32.0617,118.7778,3264
30.2940,120.1619,2850
36.0986,120.3719,739
36.0660,120.3694,210
21.0313,105.8516,886
10.8142,106.6438,877
16.0000,106.0000,2919
21.1667,103.1000,2
16.0685,108.2215,124
10.8167,106.6833,2
10.3600,106.3600,4
10.9234,106.6898,7
10.9867,106.6550,9
18.4667,105.7500,1
12.2500,109.1833,23
20.8561,106.6822,54
10.3333,106.0333,3
20.4167,106.1667,23
20.6500,106.0667,16
21.1861,106.0763,25
10.5333,106.4167,5
45.7500,126.6500,478
44.5833,129.6000,4
22.2833,114.2167,102
22.2667,114.2333,72
22.3167,114.1667,85
22.4000,114.2000,21
22.4000,114.3667,2
22.3333,114.1500,35
22.3167,114.2167,216
22.2833,113.9333,11
35.8052,139.7107,80
36.0660,138.0399,2
33.6886,130.4597,7
37.7269,112.4708,237
35.6591,139.5483,50
35.6602,139.5639,10
35.4333,139.6235,3
35.4971,139.5843,13
35.5317,139.6796,14
35.3449,139.5573,3
35.5216,139.4447,18
35.6942,139.5549,67
35.9167,138.9333,2
35.1560,136.9058,4
35.6785,139.9029,5
35.4786,139.5421,7
35.9000,139.6500,239
35.4975,137.5155,2
35.4484,139.6132,8
35.7314,139.6318,6
34.7444,137.7209,6
36.4333,140.5167,3
35.6941,139.8040,23
35.7202,139.9094,8
34.9534,136.9432,66
35.7800,139.9014,70
35.6515,139.6930,34
35.5513,139.4466,10
35.1940,138.9195,7
35.4652,139.4676,2
35.1737,138.6299,6
35.6573,139.5723,22
35.1402,138.7772,4
35.5467,139.5150,1
35.6985,139.7441,8
35.7835,139.6323,37
35.6363,139.6795,35
35.9899,139.3302,8
35.9633,139.6279,11
35.7846,139.7243,5
35.5714,139.5594,24
35.6031,140.1659,24
35.9263,139.7878,10
35.6253,139.6389,28
35.9098,139.7822,9
35.6430,139.7269,42
35.7027,139.6917,42
35.8791,140.0481,2
35.8364,139.7996,33
35.1684,138.9070,3
35.6189,139.7254,5
35.6551,139.6538,19
35.7068,139.6837,58
35.1833,136.8750,84
35.6706,139.8886,32
35.5816,139.6647,6
35.1992,137.2852,113
35.4640,139.4125,6
36.3516,139.2808,21
35.2000,136.9167,51
35.1000,137.0667,123
35.0667,139.0667,1
34.7097,136.4005,2
34.6915,135.4586,9
35.7664,139.5870,16
33.8968,130.7366,2
35.4372,139.6404,6
34.9806,135.9334,7
35.4837,139.5353,6
35.6092,140.1269,3
35.4508,139.6099,3
34.9195,138.2338,14
35.8614,139.6617,4
35.4333,136.7833,105
36.4401,136.4556,1
35.9132,137.0901,35
35.0724,138.9743,37
35.3341,139.4389,3
34.2598,108.9294,427
34.5035,109.5089,5
33.0751,107.0221,3
34.3659,107.3590,12
30.6667,104.0667,834
29.8660,106.9502,1
34.3378,108.7026,30
33.7058,110.2475,3
35.8723,128.5924,801
35.7436,139.7065,7
34.6630,135.0784,14
36.0391,138.1126,5
35.6500,139.7500,17
34.7860,134.5806,24
35.0583,136.9667,134
34.6963,135.4860,28
35.4783,140.3825,7
-34.6892,150.8580,20
-33.2328,151.5553,5
-34.0447,150.7348,8
-27.4737,153.0169,331
-26.6917,152.9562,18
-27.8244,153.3047,32
-19.2993,146.7693,69
-27.3394,152.9470,13
-27.4732,153.0215,1439
-26.1914,152.5905,1
-27.5121,153.0323,54
-27.5237,153.2851,24
-26.5380,151.8425,18
-27.9695,153.1994,20
-28.0383,153.3420,10
-26.6548,153.0861,64
-27.4965,152.9121,5
-17.8691,146.1016,1
-28.0003,153.4309,69
-27.8312,153.0274,23
-25.9750,152.9856,8
-24.2201,151.9018,2
-25.9194,153.0017,2
-19.3099,146.6386,1
-32.0787,115.9926,91
-31.5465,115.6391,37
-32.5118,115.9618,1
-31.9940,115.7582,15
-31.9204,115.8557,12
-31.8694,115.9674,27
-32.3385,115.7579,14
-32.2199,115.9954,44
-32.0505,115.9948,24
-33.3115,115.6429,69
-31.8401,115.8961,33
-33.6793,115.2671,9
-31.9633,115.8608,909
-32.2921,115.9858,3
-31.6171,115.6867,115
-32.4794,115.7955,2
-32.3354,116.0553,4
-35.0297,117.8856,14
-31.9500,115.8667,5
-31.8910,115.8873,64
-31.4833,116.1000,1
-32.3373,115.8133,129
-32.0358,115.9799,16
-31.8960,115.7652,54
-32.2652,115.8348,34
-33.0797,115.8939,6
-31.8610,115.7580,6
-32.2823,115.7369,34
-31.8696,116.2090,7
-31.8865,116.1150,2
-31.9426,115.8791,25
-33.9581,115.0704,6
-31.8412,115.8399,34
-31.9080,115.7595,12
-32.0833,116.0000,7
-33.6315,115.3390,37
-31.6618,116.0406,10
-31.9674,115.8621,661
-31.8742,116.1384,9
-34.9157,138.6750,26
-34.7192,138.6703,27
-34.9239,138.6454,33
-35.5286,138.6776,3
-36.9587,140.7434,8
-34.9274,138.6005,705
-34.5978,138.7466,16
-34.7644,138.6419,149
-34.7266,135.8829,8
-34.9216,138.6317,67
-12.4003,130.9164,14
-27.4655,153.0427,117
-28.5974,148.1952,3
-32.8037,151.6482,10
-33.8463,151.1523,59
-34.5028,150.4078,4
-27.7111,151.8654,2
-27.5548,153.0993,163
-37.8939,145.0251,48
-37.8561,145.0946,114
-37.7000,145.0167,1
-33.7250,151.0812,52
-35.9225,145.4688,1
-37.8676,144.6928,91
-37.8071,144.9516,1590
-32.8167,151.4811,24
-31.9022,152.4579,23
-31.0772,152.8405,7
-34.0346,151.0856,14
-30.3676,153.0962,2
-32.6913,151.6515,3
-31.5876,152.8351,4
-33.9335,150.8375,17
-30.2909,153.1180,49
-34.0390,151.1239,39
-31.4489,152.7922,3
-34.0136,151.0133,15
-35.9992,146.3827,3
-32.7135,151.5242,21
-31.5547,152.8468,3
-33.9929,151.0407,14
-30.6460,152.9958,7
-32.8109,151.4584,10
-32.8096,151.6589,2
-34.0594,151.0128,37
-30.5964,153.0065,1
-36.3581,146.3111,12
-32.8416,151.3735,6
-31.4648,152.7268,10
-32.6990,151.5363,6
-32.9264,151.7133,36
-34.5479,146.3993,5
-30.8965,153.0672,2
-32.9237,151.7845,95
-34.0543,151.1528,36
-27.3538,152.9673,92
-27.6618,153.0530,19
-23.5290,148.1601,13
-27.7161,152.9654,56
-27.2225,153.0136,208
-27.6203,152.9639,72
-27.7050,153.0616,21
-27.6196,152.7601,140
-27.6287,153.1064,39
-27.7090,153.1510,34
-27.5623,153.2661,33
-27.3803,153.0625,13
-26.1846,152.6665,18
-27.3656,153.0172,38
-27.7787,153.1116,12
-27.3727,152.8866,16
-27.5796,153.0917,112
-27.6104,152.8711,181
-27.7469,153.1921,6
-27.5669,152.9530,16
-24.8662,152.3479,40
-25.2894,152.8288,25
-27.4655,152.5705,4
-27.1857,152.9472,69
-25.5293,152.6966,12
-27.5500,152.9833,37
-27.5137,153.1692,11
-28.0839,152.8412,2
-27.5876,153.2927,24
-27.7835,153.3642,9
-23.4495,150.4581,4
-27.9885,153.0033,14
-26.6851,153.0654,169
-28.0721,153.3952,85
-27.3519,153.0615,28
-27.5649,152.2789,7
-27.5833,152.9333,9
-27.6051,153.0960,35
-35.2747,149.1353,203
-35.1828,149.1371,14
-36.4229,148.6178,9
-35.3981,149.0919,39
-35.3126,149.1278,20
-36.2621,149.1063,14
-35.2586,149.4463,13
-34.7464,149.7184,30
-35.2028,149.1074,25
-35.3149,149.1448,40
-33.8324,151.2295,137
-33.4126,151.2211,1
-34.9927,150.5920,3
-33.8829,151.2577,34
-33.7754,151.0414,26
-33.7525,151.0615,30
-33.8340,151.2189,47
-33.7494,151.0310,27
-33.8286,151.2259,51
-33.8869,151.2425,16
-33.7407,151.1954,17
-34.3162,150.9189,20
-33.6242,151.1468,8
-28.3319,153.3820,4
-28.8225,153.4187,4
-33.8731,151.1620,13
-33.1358,148.1765,8
-32.9333,151.7333,51
-33.8061,151.1761,64
-33.9092,150.6106,6
-32.9036,151.6723,37
-32.9424,151.7508,44
-33.7783,151.1660,27
-33.8819,151.1706,55
-33.3730,149.5458,2
-28.9033,153.4920,1
-27.8713,153.2935,58
-33.7286,151.1226,8
-33.8806,151.1977,40
-33.8016,151.0088,19
-33.7907,150.6777,56
-28.2361,153.5419,25
-33.8870,150.6059,2
-28.2375,153.5034,2
-32.7331,151.6124,3
-33.8426,150.9987,72
-28.5137,153.5399,5
-34.9280,138.6010,320
-32.4957,137.7768,17
-34.9803,138.5688,29
-34.8781,138.5401,35
-34.7420,138.6014,37
-33.2745,136.6972,1
-34.8711,138.7027,17
-34.7009,138.6780,21
-35.0981,138.5253,29
-35.0204,138.6162,49
-34.5700,139.5959,2
-36.3130,140.7695,1
-34.7832,138.7103,54
-35.1856,138.4774,41
-34.6826,138.6867,6
-34.9444,138.5926,10
-33.1780,138.0090,15
-33.9635,137.7169,4
-35.1206,138.5266,135
-37.8302,145.4333,1
-37.8183,144.9445,101
-37.5891,144.9189,122
-37.8495,145.1156,139
-37.0224,145.9535,1
-37.5757,144.7194,61
-37.7001,144.7656,9
-37.9212,145.0662,98
-37.8634,144.9825,65
-38.0414,145.3419,110
-37.8444,144.6725,51
-37.7630,144.9431,26
-38.2286,145.1771,20
-38.0500,145.2500,25
-37.7340,144.7378,104
-37.8575,145.0346,34
-37.8207,145.1509,80
-37.3601,144.5293,7
-37.8159,144.9669,1155
-37.7991,144.9489,70
-38.2063,146.0647,3
-38.1024,145.2778,140
-37.6366,144.8919,41
-38.0710,145.4759,78
-38.0976,144.0496,4
-37.8670,145.0811,55
-38.2793,144.6134,2
-38.3204,144.3257,23
-37.8974,144.7444,105
-37.8460,145.2650,46
-37.8249,145.2134,49
-38.1098,145.1367,34
-38.2598,144.5330,20
-37.9377,145.0095,36
-37.7087,144.8883,41
-37.8546,144.9934,26
-38.2745,144.4902,6
-37.8996,145.4464,7
-35.7321,143.9223,3
-32.1202,116.0163,34
-31.9769,115.7637,27
-33.3406,115.6834,4
-32.0600,115.9550,49
-32.0128,115.7622,48
-32.5274,115.7294,149
-31.9855,115.7705,45
-32.0537,115.7553,48
-33.3165,115.7148,15
-32.1632,116.0569,4
-31.9846,116.0075,27
-31.9934,115.7872,16
-32.4057,115.7606,36
-31.8458,115.7796,48
-31.9593,115.9138,31
-28.6945,114.6588,1
22.6714,120.4881,108
24.8383,121.0078,13
24.1684,121.6296,6
24.1469,120.6839,1418
25.1283,121.7419,166
24.7570,121.7530,133
22.9908,120.2133,669
24.9097,121.1461,1
24.9298,121.2837,28
23.9769,121.6044,94
25.0798,121.8523,2
24.0709,120.5419,304
23.9265,120.3169,7
23.7070,120.3848,116
23.9059,120.6866,92
24.7317,121.0303,2
23.6496,120.5050,11
23.8211,120.6449,2
25.0269,121.5310,3
23.9611,120.5721,32
23.4792,120.4489,192
23.9664,120.9695,3
23.8550,120.3209,6
23.9793,120.6841,2
24.5643,120.8237,131
24.6039,120.8190,5
23.7572,120.3222,3
23.1475,120.4699,9
23.5992,120.1922,4
23.5700,119.5700,11
24.3037,120.8043,2
22.6148,120.3139,968
24.4341,118.3171,7
23.0598,121.3015,7
55.0794,38.7783,59
22.7599,121.1446,33
23.0981,120.2125,6
23.4633,120.5817,8
35.2716,128.6531,276
34.8736,128.3971,18
34.8659,128.6263,67
35.2719,128.8402,138
35.4933,128.7489,22
35.1003,129.0442,1148
36.0072,127.6614,3
34.8038,128.3891,94
37.5946,126.9712,90
-37.6407,145.0282,47
-27.4932,153.0369,1
-27.5252,153.0041,4
-33.7717,150.8385,39
-33.8255,151.1063,1
15.2384,104.8487,8
13.4244,99.9569,2
17.1772,99.8064,15
14.2617,99.4036,10
8.0726,98.9105,3
14.0499,101.3686,3
13.5475,100.2736,5
12.9333,100.8833,25
13.7500,101.3500,6
8.7000,98.2500,4
7.8333,98.3833,14
19.3085,97.9653,1
16.4792,104.6583,12
15.3667,100.0500,2
6.9292,99.8708,1
19.9000,99.8333,34
13.8141,102.0722,2
15.7953,104.1494,5
17.6256,100.0942,1
14.4742,100.1222,13
